Dimension, epsilon, agg_thr, box_thr, fpr, falsepositive_c, falsepositive_bf, falsenegative_c, bfsize
2,0.00021544346900318845,1.0,0.00023713737056616554,0.0595308406403,0,3931,839364,1005675
3,0.001,0.9,0.1,0.947738252086,62489,93,23461,28114
149,0.046415888336127774,1.0,0.0031622776601683794,0.0595308406403,0,3931,839364,1005675
17,0.0001,1.0,0.1,0.0595308406403,0,3931,839364,1005675
256,0.004641588833612777,1.0,0.042169650342858224,0.0595308406403,0,3931,839364,1005675
29,0.1,1.0,0.0005623413251903491,0.0595308406403,0,3931,839364,1005675
29,0.00046415888336127773,1.0,0.042169650342858224,0.0595308406403,0,3931,839364,1005675
2,0.00046415888336127773,0.9,0.01778279410038923,0.928823467054,61146,187,40217,48190
10,0.002154434690031882,0.8,0.0005623413251903491,0.973119500856,64227,31,3042,3650
256,0.00046415888336127773,1.0,0.007498942093324558,0.0595308406403,0,3931,839364,1005675
149,0.046415888336127774,1.0,0.0,0.0595308406403,0,3931,839364,1005675
2,0.046415888336127774,0.9,0.0,0.987400239274,65190,11,29,41
5,0.00046415888336127773,1.0,0.0,0.0595308406403,0,3931,839364,1005675
10,0.0001,0.8,0.007498942093324558,0.720609392274,46725,859,228597,273895
29,0.0001,1.0,0.1,0.0595308406403,0,3931,839364,1005675
256,0.1,0.8,0.042169650342858224,0.986703617888,65132,23,1389,1670
256,0.002154434690031882,1.0,0.042169650342858224,0.0595308406403,0,3931,839364,1005675
5,0.00046415888336127773,1.0,0.001333521432163324,0.0595308406403,0,3931,839364,1005675
3,0.00021544346900318845,0.9,0.1,0.848575712144,55547,487,113307,135762
149,0.00021544346900318845,0.9,0.0005623413251903491,0.911044477761,59993,166,39406,47220
17,0.004641588833612777,1.0,0.0,0.0595308406403,0,3931,839364,1005675
2,0.001,0.8,0.0005623413251903491,0.963048778641,63546,47,7140,8560
87,0.00021544346900318845,0.8,0.1,0.913285781352,60080,227,48058,57585
17,0.0001,1.0,0.00023713737056616554,0.0595308406403,0,3931,839364,1005675
50,0.002154434690031882,0.9,0.1,0.965623248982,63708,55,11894,14255
149,0.004641588833612777,1.0,0.1,0.0595308406403,0,3931,839364,1005675
50,0.00046415888336127773,0.9,0.001333521432163324,0.937061772144,61758,119,27402,32836
3,0.01,1.0,0.007498942093324558,0.0595308406403,0,3931,839364,1005675
5,0.001,0.9,0.01778279410038923,0.939515090939,61930,109,26410,31648
2,0.021544346900318822,1.0,0.007498942093324558,0.0595308406403,0,3931,839364,1005675
3,0.004641588833612777,1.0,0.1,0.0595308406403,0,3931,839364,1005675
